Segment,quantiles,Delay_type,Measure,Value,Axis
3,60%,Crash,Flow,1352,0
3,60%,None,Density,22,0
3,60%,None,Flow,1383,0
3,60%,Weather,Density,28,0
3,60%,Weather,Flow,1369,0
3,70%,Crash,Density,24,0
3,70%,Crash,Flow,1266,0
3,70%,None,Density,22,0
3,70%,None,Flow,1345,0
3,70%,Weather,Density,24,0
3,70%,Weather,Flow,1284,0
3,80%,Crash,Density,24,0
3,80%,Crash,Flow,1244,0
3,80%,None,Density,22,0
3,80%,None,Flow,1294,0
3,80%,Weather,Density,30,0
3,80%,Weather,Flow,1296,0
3,90%,Crash,Density,24,0
3,90%,Crash,Flow,1198,0
3,90%,None,Density,22,0
3,90%,None,Flow,1228,0
3,90%,Weather,Density,28,0
3,90%,Weather,Flow,1218,0
3,95%,Crash,Density,24,0
3,95%,Crash,Flow,1180,0
3,95%,None,Density,22,0
3,95%,None,Flow,1175,0
3,95%,Weather,Density,28,0
3,95%,Weather,Flow,1129,0
4,5%,Crash,Density,26,0
4,5%,Crash,Flow,1650,0
4,5%,None,Density,28,0
4,5%,None,Flow,1858,0
4,5%,Weather,Density,32,0
4,5%,Weather,Flow,1938,0
4,10%,Crash,Density,26,0
4,10%,Crash,Flow,1626,0
4,10%,None,Density,28,0
4,10%,None,Flow,1719,0
4,10%,Weather,Density,42,0
4,10%,Weather,Flow,1912,0
4,20%,Crash,Density,24,0
4,20%,Crash,Flow,1594,0
4,20%,None,Density,28,0
4,20%,None,Flow,1591,0
4,20%,Weather,Density,24,0
4,20%,Weather,Flow,1596,0
4,30%,Crash,Density,24,0
4,30%,Crash,Flow,1507,0
4,30%,None,Density,26,0
4,30%,None,Flow,1536,0
4,30%,Weather,Density,28,0
4,30%,Weather,Flow,1544,0
4,40%,Crash,Density,24,0
4,40%,Crash,Flow,1414,0
4,40%,None,Density,24,0
4,40%,None,Flow,1480,0
4,40%,Weather,Density,28,0
4,40%,Weather,Flow,1503,0
4,50%,Crash,Density,24,0
4,50%,Crash,Flow,1391,0
4,50%,None,Density,24,0
4,50%,None,Flow,1424,0
4,50%,Weather,Density,28,0
4,50%,Weather,Flow,1438,0
4,60%,Crash,Density,24,0
4,60%,Crash,Flow,1352,0
4,60%,None,Density,22,0
4,60%,None,Flow,1383,0
4,60%,Weather,Density,28,0
4,60%,Weather,Flow,1369,0
4,70%,Crash,Density,24,0
4,70%,Crash,Flow,1266,0
4,70%,None,Density,22,0
4,70%,None,Flow,1345,0
4,70%,Weather,Density,24,0
4,70%,Weather,Flow,1284,0
4,80%,Crash,Density,24,0
4,80%,Crash,Flow,1244,0
4,80%,None,Density,22,0
4,80%,None,Flow,1294,0
4,80%,Weather,Density,30,0
4,80%,Weather,Flow,1296,0
4,90%,Crash,Density,24,0
4,90%,Crash,Flow,1198,0
4,90%,None,Density,22,0
4,90%,None,Flow,1228,0
4,90%,Weather,Density,28,0
4,90%,Weather,Flow,1218,0
4,95%,Crash,Density,24,0
4,95%,Crash,Flow,1180,0
4,95%,None,Density,22,0
4,95%,None,Flow,1175,0
4,95%,Weather,Density,28,0
4,95%,Weather,Flow,1129,0
5,5%,Crash,Density,26,0
5,5%,Crash,Flow,1650,0
5,5%,None,Density,28,0
5,5%,None,Flow,1858,0
5,5%,Weather,Density,32,0
5,5%,Weather,Flow,1938,0
5,10%,Crash,Density,26,0
5,10%,Crash,Flow,1626,0
5,10%,None,Density,28,0
5,10%,None,Flow,1719,0
5,10%,Weather,Density,42,0
5,10%,Weather,Flow,1912,0
5,20%,Crash,Density,24,0
5,20%,Crash,Flow,1594,0
5,20%,None,Density,28,0
5,20%,None,Flow,1591,0
5,20%,Weather,Density,24,0
5,20%,Weather,Flow,1596,0
5,30%,Crash,Density,24,0
5,30%,Crash,Flow,1507,0
5,30%,None,Density,26,0
5,30%,None,Flow,1536,0
5,30%,Weather,Density,28,0
5,30%,Weather,Flow,1544,0
5,40%,Crash,Density,24,0
5,40%,Crash,Flow,1414,0
5,40%,None,Density,24,0
5,40%,None,Flow,1480,0
5,40%,Weather,Density,28,0
5,40%,Weather,Flow,1503,0
5,50%,Crash,Density,24,0
5,50%,Crash,Flow,1391,0
5,50%,None,Density,24,0
5,50%,None,Flow,1424,0
5,50%,Weather,Density,28,0
5,50%,Weather,Flow,1438,0
5,60%,Crash,Density,24,0
5,60%,Crash,Flow,1352,0
5,60%,None,Density,22,0
5,60%,None,Flow,1383,0
5,60%,Weather,Density,28,0
5,60%,Weather,Flow,1369,0
5,70%,Crash,Density,24,0
5,70%,Crash,Flow,1266,0
5,70%,None,Density,22,0
5,70%,None,Flow,1345,0
5,70%,Weather,Density,24,0
5,70%,Weather,Flow,1284,0
5,80%,Crash,Density,24,0
5,80%,Crash,Flow,1244,0
5,80%,None,Density,22,0
5,80%,None,Flow,1294,0
5,80%,Weather,Density,30,0
5,80%,Weather,Flow,1296,0
5,90%,Crash,Density,24,0
5,90%,Crash,Flow,1198,0
5,90%,None,Density,22,0
5,90%,None,Flow,1228,0
5,90%,Weather,Density,28,0
5,90%,Weather,Flow,1218,0
5,95%,Crash,Density,24,0
5,95%,Crash,Flow,1180,0
5,95%,None,Density,22,0
5,95%,None,Flow,1175,0
5,95%,Weather,Density,28,0
5,95%,Weather,Flow,1129,0
6,5%,Crash,Density,26,0
6,5%,Crash,Flow,1650,0
6,5%,None,Density,28,0
6,5%,None,Flow,1858,0
6,5%,Weather,Density,32,0
6,5%,Weather,Flow,1938,0
6,10%,Crash,Density,26,0
6,10%,Crash,Flow,1626,0
6,10%,None,Density,28,0
6,10%,None,Flow,1719,0
6,10%,Weather,Density,42,0
6,10%,Weather,Flow,1912,0
6,20%,Crash,Density,24,0
6,20%,Crash,Flow,1594,0
6,20%,None,Density,28,0
6,20%,None,Flow,1591,0
6,20%,Weather,Density,24,0
6,20%,Weather,Flow,1596,0
6,30%,Crash,Density,24,0
6,30%,Crash,Flow,1507,0
6,30%,None,Density,26,0
6,30%,None,Flow,1536,0
6,30%,Weather,Density,28,0
6,30%,Weather,Flow,1544,0
6,40%,Crash,Density,24,0
6,40%,Crash,Flow,1414,0
6,40%,None,Density,24,0
6,40%,None,Flow,1480,0
6,40%,Weather,Density,28,0
6,40%,Weather,Flow,1503,0
6,50%,Crash,Density,24,0
6,50%,Crash,Flow,1391,0
6,50%,None,Density,24,0
6,50%,None,Flow,1424,0
6,50%,Weather,Density,28,0
6,50%,Weather,Flow,1438,0
6,60%,Crash,Density,24,0
6,60%,Crash,Flow,1352,0
6,60%,None,Density,22,0
6,60%,None,Flow,1383,0
6,60%,Weather,Density,28,0
6,60%,Weather,Flow,1369,0
6,70%,Crash,Density,24,0
6,70%,Crash,Flow,1266,0
6,70%,None,Density,22,0
6,70%,None,Flow,1345,0
6,70%,Weather,Density,24,0
6,70%,Weather,Flow,1284,0
6,80%,Crash,Density,24,0
6,80%,Crash,Flow,1244,0
6,80%,None,Density,22,0
6,80%,None,Flow,1294,0
6,80%,Weather,Density,30,0
6,80%,Weather,Flow,1296,0
6,90%,Crash,Density,24,0
6,90%,Crash,Flow,1198,0
6,90%,None,Density,22,0
6,90%,None,Flow,1228,0
6,90%,Weather,Density,28,0
6,90%,Weather,Flow,1218,0
6,95%,Crash,Density,24,0
6,95%,Crash,Flow,1180,0
6,95%,None,Density,22,0
6,95%,None,Flow,1175,0
6,95%,Weather,Density,28,0
6,95%,Weather,Flow,1129,0
7,5%,Crash,Density,26,0
7,5%,Crash,Flow,1650,0
7,5%,None,Density,28,0
7,5%,None,Flow,1858,0
7,5%,Weather,Density,32,0
7,5%,Weather,Flow,1938,0
7,10%,Crash,Density,26,0
7,10%,Crash,Flow,1626,0
7,10%,None,Density,28,0
7,10%,None,Flow,1719,0
7,10%,Weather,Density,42,0
7,10%,Weather,Flow,1912,0
7,20%,Crash,Density,24,0
7,20%,Crash,Flow,1594,0
7,20%,None,Density,28,0
7,20%,None,Flow,1591,0
7,20%,Weather,Density,24,0
7,20%,Weather,Flow,1596,0
7,30%,Crash,Density,24,0
7,30%,Crash,Flow,1507,0
7,30%,None,Density,26,0
7,30%,None,Flow,1536,0
7,30%,Weather,Density,28,0
7,30%,Weather,Flow,1544,0
7,40%,Crash,Density,24,0
7,40%,Crash,Flow,1414,0
7,40%,None,Density,24,0
7,40%,None,Flow,1480,0
7,40%,Weather,Density,28,0
7,40%,Weather,Flow,1503,0
7,50%,Crash,Density,24,0
7,50%,Crash,Flow,1391,0
7,50%,None,Density,24,0
7,50%,None,Flow,1424,0
7,50%,Weather,Density,28,0
7,50%,Weather,Flow,1438,0
7,60%,Crash,Density,24,0
7,60%,Crash,Flow,1352,0
7,60%,None,Density,22,0
7,60%,None,Flow,1383,0
7,60%,Weather,Density,28,0
7,60%,Weather,Flow,1369,0
7,70%,Crash,Density,24,0
7,70%,Crash,Flow,1266,0
7,70%,None,Density,22,0
7,70%,None,Flow,1345,0
7,70%,Weather,Density,24,0
7,70%,Weather,Flow,1284,0
7,80%,Crash,Density,24,0
7,80%,Crash,Flow,1244,0
7,80%,None,Density,22,0
7,80%,None,Flow,1294,0
7,80%,Weather,Density,30,0
7,80%,Weather,Flow,1296,0
7,90%,Crash,Density,24,0
7,90%,Crash,Flow,1198,0
7,90%,None,Density,22,0
7,90%,None,Flow,1228,0
7,90%,Weather,Density,28,0
7,90%,Weather,Flow,1218,0
7,95%,Crash,Density,24,0
7,95%,Crash,Flow,1180,0
7,95%,None,Density,22,0
7,95%,None,Flow,1175,0
7,95%,Weather,Density,28,0
7,95%,Weather,Flow,1129,0
8,5%,Crash,Density,26,0
8,5%,Crash,Flow,1650,0
8,5%,None,Density,28,0
8,5%,None,Flow,1858,0
8,5%,Weather,Density,32,0
8,5%,Weather,Flow,1938,0
8,10%,Crash,Density,26,0
8,10%,Crash,Flow,1626,0
8,10%,None,Density,28,0
8,10%,None,Flow,1719,0
8,10%,Weather,Density,42,0
8,10%,Weather,Flow,1912,0
8,20%,Crash,Density,24,0
8,20%,Crash,Flow,1594,0
8,20%,None,Density,28,0
8,20%,None,Flow,1591,0
8,20%,Weather,Density,24,0
8,20%,Weather,Flow,1596,0
8,30%,Crash,Density,24,0
8,30%,Crash,Flow,1507,0
8,30%,None,Density,26,0
8,30%,None,Flow,1536,0
8,30%,Weather,Density,28,0
8,30%,Weather,Flow,1544,0
8,40%,Crash,Density,24,0
8,40%,Crash,Flow,1414,0
8,40%,None,Density,24,0
8,40%,None,Flow,1480,0
8,40%,Weather,Density,28,0
8,40%,Weather,Flow,1503,0
8,50%,Crash,Density,24,0
8,50%,Crash,Flow,1391,0
8,50%,None,Density,24,0
8,50%,None,Flow,1424,0
8,50%,Weather,Density,28,0
8,50%,Weather,Flow,1438,0
8,60%,Crash,Density,24,0
8,60%,Crash,Flow,1352,0
8,60%,None,Density,22,0
8,60%,None,Flow,1383,0
8,60%,Weather,Density,28,0
8,60%,Weather,Flow,1369,0
8,70%,Crash,Density,24,0
8,70%,Crash,Flow,1266,0
8,70%,None,Density,22,0
8,70%,None,Flow,1345,0
8,70%,Weather,Density,24,0
8,70%,Weather,Flow,1284,0
8,80%,Crash,Density,24,0
8,80%,Crash,Flow,1244,0
8,80%,None,Density,22,0
8,80%,None,Flow,1294,0
8,80%,Weather,Density,30,0
8,80%,Weather,Flow,1296,0
8,90%,Crash,Density,24,0
8,90%,Crash,Flow,1198,0
8,90%,None,Density,22,0
8,90%,None,Flow,1228,0
8,90%,Weather,Density,28,0
8,90%,Weather,Flow,1218,0
