Timestamp,VMT_total,TT_mean,Weather,Crash,incident,Rd Work
20150101 00:15,149,1.79,0,0,0,0
20150101 00:30,328,1.79,0,0,0,0
20150101 00:45,338,1.95,0,0,0,0
20150101 01:00,383,2.1,0,0,0,0
20150101 01:15,319,2.16,0,0,0,0
20150101 01:30,289,1.87,0,0,0,0
20150101 01:45,249,1.79,0,0,0,0
20150101 02:00,252,1.79,0,0,0,0
20150101 02:15,227,1.79,0,0,0,0
20150101 02:30,194,2.22,0,0,0,0
20150101 02:45,172,1.88,0,0,0,0
20150101 03:00,184,1.82,0,0,0,0
20150101 03:15,129,1.85,0,0,0,0
20150101 03:30,161,1.87,0,0,0,0
20150101 03:45,124,1.79,0,0,0,0
20150101 04:00,115,2.3,0,0,0,0
20150101 04:15,120,1.79,0,0,0,0
20150101 04:30,84,1.79,0,0,0,0
20150101 04:45,105,1.79,0,0,0,0
20150101 05:00,107,1.79,0,0,0,0
20150101 05:15,119,1.79,0,0,0,0
20150101 05:30,172,1.79,0,0,0,0
20150101 05:45,184,1.79,0,0,0,0
20150101 06:00,174,1.79,0,0,0,0
20150101 06:15,145,1.79,0,0,0,0
20150101 06:30,247,1.98,0,0,0,0
20150101 06:45,268,1.79,0,0,0,0
20150101 07:00,204,1.79,0,0,0,0
20150101 07:15,109,1.79,0,0,0,0
20150101 07:30,172,1.79,0,0,0,0
20150101 07:45,199,1.89,0,0,0,0
20150101 08:00,186,1.79,0,0,0,0
20150101 08:15,191,2.39,0,0,0,0
20150101 08:30,241,1.91,0,0,0,0
20150101 08:45,261,1.79,0,0,0,0
20150101 09:00,256,1.79,0,0,0,0
20150101 09:15,268,2.25,0,0,0,0
20150101 09:30,349,1.87,0,0,0,0
20150101 09:45,393,2.03,0,0,0,0
20150101 10:00,388,1.82,0,0,0,0
20150101 10:15,386,1.82,0,0,0,0
20150101 10:30,438,1.71,0,0,0,0
20150101 10:45,448,1.73,0,0,0,0
20150101 11:00,498,1.92,0,0,0,0
20150101 11:15,487,1.79,0,0,0,0
20150101 11:30,512,1.79,0,0,0,0
20150101 11:45,580,1.79,0,0,0,0
20150101 12:00,655,1.79,0,0,0,0
20150101 12:15,617,1.79,0,0,0,0
20150101 12:30,627,1.79,0,0,0,0
20150101 12:45,558,1.66,0,0,0,0
20150101 13:00,568,1.72,0,0,0,0
20150101 13:15,558,1.78,0,0,0,0
20150101 13:30,622,1.79,0,0,0,0
20150101 13:45,677,1.94,0,0,0,0
20150101 14:00,650,1.79,1,0,0,0
20150101 14:15,686,2.27,1,0,0,0
20150101 14:30,645,1.76,0,0,0,0
20150101 14:45,726,2.08,0,0,0,0
20150101 15:00,674,5.45,0,0,0,0
20150101 15:15,627,1.79,0,0,0,0
20150101 15:30,722,1.79,0,0,0,0
20150101 15:45,754,2.01,0,0,0,0
20150101 16:00,686,1.88,0,0,0,0
20150101 16:15,607,1.79,0,0,0,0
20150101 16:30,645,1.75,0,0,0,0
20150101 16:45,625,1.79,0,0,0,0
20150101 17:00,622,2.98,0,0,0,0
20150101 17:15,590,1.79,0,0,0,0
20150101 17:30,615,1.79,0,0,0,0
20150101 17:45,597,2.07,0,0,0,0
20150101 18:00,579,1.79,0,0,0,0
20150101 18:15,548,2.18,0,0,0,0
20150101 18:30,634,2.33,0,0,0,0
20150101 18:45,590,2.55,0,0,0,0
20150101 19:00,473,2.33,0,0,0,0
20150101 19:15,482,1.79,0,0,0,0
20150101 19:30,458,1.66,0,0,0,0
20150101 19:45,381,2.04,0,0,0,0
20150101 20:00,421,1.95,0,0,0,0
20150101 20:15,373,2.34,0,0,0,0
20150101 20:30,359,1.79,0,0,0,0
20150101 20:45,416,1.79,0,0,0,0
20150101 21:00,353,1.79,0,0,0,0
20150101 21:15,339,1.79,0,0,0,0
20150101 21:30,385,1.79,0,0,0,0
20150101 21:45,448,1.79,0,0,0,0
20150101 22:00,373,1.79,0,0,0,0
20150101 22:15,359,1.79,0,0,0,0
20150101 22:30,339,1.79,0,0,0,0
20150101 22:45,336,1.79,0,0,0,0
20150101 23:00,252,1.79,0,0,0,0
20150101 23:15,237,1.79,0,0,0,0
20150101 23:30,169,1.79,0,0,0,0
20150101 23:45,161,1.79,0,0,0,0
20150102 00:00,186,1.75,0,0,0,0
20150102 00:15,145,1.79,0,0,0,0
20150102 00:30,120,1.79,0,0,0,0
20150102 00:45,125,1.79,0,0,0,0
20150102 01:00,129,1.82,0,0,0,0
20150102 01:15,109,1.79,0,0,0,0
20150102 01:30,80,1.79,0,0,0,0
20150102 01:45,97,1.79,0,0,0,0
20150102 02:00,60,2.4,0,0,0,0
20150102 02:15,45,2.79,0,0,0,0
20150102 02:30,55,1.79,0,0,0,0
20150102 02:45,79,1.79,0,0,0,0
20150102 03:00,45,1.79,0,0,0,0
20150102 03:15,50,1.79,0,0,0,0
20150102 03:30,75,1.79,0,0,0,0
20150102 03:45,87,1.79,0,0,0,0
20150102 04:00,70,1.79,0,0,0,0
20150102 04:15,97,1.82,0,0,0,0
20150102 04:30,166,1.7,0,0,0,0
20150102 04:45,197,1.79,0,0,0,0
20150102 05:00,254,1.79,0,0,0,0
20150102 05:15,318,1.84,0,0,0,0
20150102 05:30,493,1.79,0,0,0,0
20150102 05:45,686,1.97,0,0,0,0
20150102 06:00,737,1.78,0,0,0,0
20150102 06:15,799,1.99,0,0,0,0
20150102 06:30,1097,1.86,0,0,0,0
20150102 06:45,1202,1.79,0,0,0,0
20150102 07:00,1017,1.88,0,0,0,0
20150102 07:15,1080,1.81,0,0,0,0
20150102 07:30,1095,2.32,0,0,0,0
20150102 07:45,1287,1.76,0,0,0,0
20150102 08:00,1082,2.03,0,0,0,0
20150102 08:15,861,2.07,0,0,0,0
20150102 08:30,960,2,0,0,0,0
20150102 08:45,918,1.73,0,0,0,0
20150102 09:00,936,2.77,0,0,0,0
20150102 09:15,878,3.5,0,0,0,0
20150102 09:30,874,2.09,0,0,0,0
20150102 09:45,890,1.79,0,0,0,0
20150102 10:00,856,1.94,0,0,0,0
20150102 10:15,818,1.85,0,0,0,0
20150102 10:30,789,2.12,0,0,0,0
20150102 10:45,849,2.58,0,0,0,0
20150102 11:00,771,1.89,0,0,0,0
20150102 11:15,831,2.03,0,0,0,0
20150102 11:30,777,1.79,0,0,0,0
20150102 11:45,829,2.69,0,0,0,0
20150102 12:00,816,1.96,0,0,0,0
20150102 12:15,818,1.79,0,0,0,0
20150102 12:30,839,2.25,0,0,0,0
20150102 12:45,921,1.81,0,0,0,0
20150102 13:00,913,2.07,0,0,0,0
20150102 13:15,829,2.44,0,0,0,0
20150102 13:30,833,1.82,0,0,0,0
20150102 13:45,893,2.07,0,0,0,0
20150102 14:00,813,3.22,0,0,0,0
20150102 14:15,823,2,0,0,0,0
20150102 14:30,861,1.79,0,0,0,0
20150102 14:45,808,2.2,0,0,0,0
20150102 15:00,826,1.79,0,0,0,0
20150102 15:15,839,2.58,0,0,0,0
20150102 15:30,804,1.67,0,0,0,0
20150102 15:45,868,1.84,0,0,0,0
20150102 16:00,769,2.21,0,0,0,0
20150102 16:15,804,1.91,0,0,0,0
20150102 16:30,891,1.78,0,0,0,0
20150102 16:45,799,1.79,0,0,0,0
20150102 17:00,864,2.12,0,0,0,0
20150102 17:15,762,2.28,0,0,0,0
20150102 17:30,895,2.33,0,0,0,0
20150102 17:45,898,2.51,0,0,0,0
20150102 18:00,727,2.37,0,0,0,0
20150102 18:15,884,2.51,0,0,0,0
20150102 18:30,731,1.79,0,0,0,0
20150102 18:45,777,2.72,0,0,0,0
20150102 19:00,694,1.79,0,0,0,0
20150102 19:15,547,2.04,0,0,0,0
20150102 19:30,552,2.9,0,0,0,0
20150102 19:45,528,1.97,0,0,0,0
20150102 20:00,497,1.79,0,0,0,0
20150102 20:15,445,1.79,0,0,0,0
20150102 20:30,418,1.79,0,0,0,0
20150102 20:45,435,1.79,0,0,0,0
20150102 21:00,426,1.79,0,0,0,0
20150102 21:15,421,1.79,0,0,0,0
20150102 21:30,533,2.29,0,0,0,0
20150102 21:45,543,1.79,0,0,0,0
20150102 22:00,426,1.79,0,0,0,0
20150102 22:15,405,1.79,0,0,0,0
20150102 22:30,431,1.79,0,0,0,0
20150102 22:45,433,1.79,0,0,0,0
20150102 23:00,299,1.79,0,0,0,0
20150102 23:15,309,1.79,0,0,0,0
20150102 23:30,306,1.79,0,0,0,0
20150102 23:45,271,1.79,0,0,0,0
20150103 00:00,257,1.81,0,0,0,0
20150103 00:15,169,2.78,0,0,0,0
20150103 00:30,261,1.79,0,0,0,0
20150103 00:45,191,1.79,0,0,0,0
20150103 01:00,119,1.79,0,0,0,0
20150103 01:15,135,3.46,0,0,0,0
20150103 01:30,132,1.79,0,0,0,0
20150103 01:45,132,1.79,0,0,0,0
20150103 02:00,79,1.79,0,0,0,0
20150103 02:15,99,1.79,0,0,0,0
20150103 02:30,95,1.91,0,0,0,0
20150103 02:45,87,1.82,0,0,0,0
20150103 03:00,84,1.79,0,0,0,0
20150103 03:15,57,1.79,0,0,0,0
20150103 03:30,90,1.79,0,0,0,0
20150103 03:45,110,1.79,0,0,0,0
20150103 04:00,65,1.79,0,0,0,0
20150103 04:15,97,1.79,0,0,0,0
20150103 04:30,100,1.79,0,0,0,0
20150103 04:45,109,1.79,0,0,0,0
20150103 05:00,99,1.76,0,0,0,0
20150103 05:15,144,1.79,0,0,0,0
20150103 05:30,197,1.79,0,0,0,0
20150103 05:45,301,1.79,0,0,0,0
20150103 06:00,274,1.79,0,0,0,0
20150103 06:15,236,2.24,0,0,0,0
20150103 06:30,324,1.91,0,0,0,0
20150103 06:45,411,1.79,0,0,0,0
20150103 07:00,358,1.79,0,0,0,0
20150103 07:15,271,1.79,0,0,0,0
20150103 07:30,294,1.79,0,0,0,0
20150103 07:45,421,2.01,0,0,0,0
20150103 08:00,403,1.9,0,0,0,0
20150103 08:15,396,1.76,0,0,0,0
20150103 08:30,477,2.43,0,0,0,0
20150103 08:45,547,1.78,0,0,0,0
20150103 09:00,612,2.01,0,0,0,0
20150103 09:15,605,2.1,0,0,0,0
20150103 09:30,625,1.79,0,0,0,0
20150103 09:45,781,1.91,0,0,0,0
20150103 10:00,838,2.65,0,0,0,0
20150103 10:15,747,1.92,0,0,0,0
20150103 10:30,841,1.79,0,0,0,0
20150103 10:45,791,3.61,0,0,0,0
20150103 11:00,808,1.93,0,0,0,0
20150103 11:15,782,2.98,0,0,0,0
20150103 11:30,811,2.04,0,0,0,0
20150103 11:45,829,2.42,0,0,0,0
20150103 12:00,874,2.18,0,0,0,0
20150103 12:15,761,1.88,0,0,0,0
20150103 12:30,886,1.91,0,0,0,0
20150103 12:45,869,1.9,0,0,0,0
20150103 13:00,858,1.79,0,0,0,0
20150103 13:15,751,2.21,0,0,0,0
20150103 13:30,859,2.01,0,0,0,0
20150103 13:45,856,2.36,0,0,0,0
20150103 14:00,950,1.82,0,0,0,0
20150103 14:15,881,2.79,0,0,0,0
20150103 14:30,871,2.76,0,0,0,0
20150103 14:45,881,2.76,0,0,0,0
20150103 15:00,874,1.79,0,0,0,0
20150103 15:15,838,2.83,0,0,0,0
20150103 15:30,781,1.94,0,0,0,0
20150103 15:45,776,1.88,0,0,0,0
20150103 16:00,836,2.42,0,0,0,0
20150103 16:15,732,2.27,0,0,0,0
20150103 16:30,786,4.58,0,0,0,0
20150103 16:45,834,2.51,0,0,0,0
20150103 17:00,883,2.33,0,0,0,0
20150103 17:15,761,2.43,0,0,0,0
20150103 17:30,831,2.71,0,0,0,0
20150103 17:45,818,2.55,0,0,0,0
20150103 18:00,757,2.16,0,0,0,0
20150103 18:15,895,2.1,0,0,0,0
20150103 18:30,697,2.19,0,0,0,0
20150103 18:45,727,2.12,0,0,0,0
20150103 19:00,679,2.22,0,0,0,0
20150103 19:15,604,3.22,0,0,0,0
20150103 19:30,508,3.73,0,0,0,0
20150103 19:45,495,1.79,0,0,0,0
20150103 20:00,456,1.79,0,0,0,0
20150103 20:15,415,1.92,0,0,0,0
20150103 20:30,421,2.64,0,0,0,0
20150103 20:45,461,1.79,0,0,0,0
20150103 21:00,440,2.54,0,0,0,0
20150103 21:15,423,1.79,0,0,0,0
20150103 21:30,480,2.22,0,0,0,0
20150103 21:45,423,1.78,0,0,0,0
20150103 22:00,400,2.88,0,0,0,0
20150103 22:15,366,1.82,0,0,0,0
20150103 22:30,446,1.79,0,0,0,0
20150103 22:45,418,1.79,0,0,0,0
20150103 23:00,299,1.82,0,0,0,0
20150103 23:15,268,1.85,0,0,0,0
20150103 23:30,246,2.7,0,0,0,0
20150103 23:45,273,1.79,0,0,0,0
20150104 00:00,227,1.79,0,0,0,0
20150104 00:15,259,1.84,0,0,0,0
20150104 00:30,247,1.81,1,0,0,0
20150104 00:45,201,1.79,1,0,0,0
20150104 01:00,119,1.94,1,0,0,0
20150104 01:15,164,1.79,1,0,0,0
20150104 01:30,134,1.79,1,0,0,0
20150104 01:45,145,1.79,1,0,0,0
20150104 02:00,97,1.7,1,0,0,0
20150104 02:15,132,1.79,1,0,0,0
20150104 02:30,104,1.84,1,0,0,0
20150104 02:45,85,1.79,1,0,0,0
20150104 03:00,84,2.63,1,0,0,0
20150104 03:15,62,1.79,1,0,0,0
20150104 03:30,79,1.79,0,0,0,0
20150104 03:45,85,1.79,0,0,0,0
20150104 04:00,55,1.79,0,0,0,0
20150104 04:15,64,1.79,0,0,0,0
20150104 04:30,77,1.79,0,0,0,0
20150104 04:45,95,1.79,0,0,0,0
20150104 05:00,92,1.79,0,0,0,0
20150104 05:15,102,1.81,0,0,0,0
20150104 05:30,162,2.35,0,0,0,0
20150104 05:45,182,1.79,0,0,0,0
20150104 06:00,152,1.79,0,0,0,0
20150104 06:15,191,1.79,0,0,0,0
20150104 06:30,192,1.79,0,0,0,0
20150104 06:45,284,1.79,0,0,0,0
20150104 07:00,211,1.92,0,0,0,0
20150104 07:15,164,1.81,0,0,0,0
20150104 07:30,209,1.79,0,0,0,0
20150104 07:45,299,1.85,0,0,0,0
20150104 08:00,257,1.79,0,0,0,0
20150104 08:15,229,1.79,0,0,0,0
20150104 08:30,279,1.79,0,0,0,0
20150104 08:45,396,1.84,0,0,0,0
20150104 09:00,406,1.79,0,0,0,0
20150104 09:15,472,1.79,0,0,0,0
20150104 09:30,520,1.79,0,0,0,0
20150104 09:45,522,1.79,0,0,0,0
20150104 10:00,607,1.9,0,0,0,0
20150104 10:15,498,1.91,0,0,0,0
20150104 10:30,669,2.01,0,0,0,0
20150104 10:45,709,1.79,0,0,0,0
20150104 11:00,769,1.98,0,0,0,0
20150104 11:15,625,1.81,0,0,0,0
20150104 11:30,602,1.79,0,0,0,0
20150104 11:45,672,2.07,0,0,0,0
20150104 12:00,692,2.14,0,0,0,0
20150104 12:15,632,1.79,0,0,0,0
20150104 12:30,597,1.79,0,0,0,0
20150104 12:45,712,1.99,0,0,0,0
20150104 13:00,761,1.79,0,0,0,0
20150104 13:15,714,2.33,0,0,0,0
20150104 13:30,747,1.88,0,0,0,0
20150104 13:45,672,1.79,0,0,0,0
20150104 14:00,696,1.73,0,0,0,0
20150104 14:15,640,2.12,0,0,0,0
20150104 14:30,672,1.85,0,0,0,0
20150104 14:45,699,1.88,0,0,0,0
20150104 15:00,639,1.87,0,0,0,0
20150104 15:15,655,3.96,0,0,0,0
20150104 15:30,662,1.79,0,0,0,0
20150104 15:45,732,2.43,0,1,0,0
20150104 16:00,677,1.79,0,1,0,0
20150104 16:15,632,1.57,0,1,0,0
20150104 16:30,580,1.97,0,0,0,0
20150104 16:45,605,2.24,0,0,0,0
20150104 17:00,590,1.79,0,0,0,0
20150104 17:15,602,1.79,0,0,0,0
20150104 17:30,659,1.79,0,0,0,0
20150104 17:45,667,1.92,0,0,0,0
20150104 18:00,532,2.66,0,0,0,0
20150104 18:15,587,1.79,0,0,0,0
20150104 18:30,537,1.95,0,0,0,0
20150104 18:45,502,1.79,0,0,0,0
20150104 19:00,493,1.97,0,0,0,0
20150104 19:15,517,2.1,0,0,0,0
20150104 19:30,445,2.37,0,0,0,0
20150104 19:45,445,1.79,0,0,0,0
20150104 20:00,381,1.84,0,0,0,0
20150104 20:15,358,1.79,0,0,0,0
20150104 20:30,385,1.9,0,0,0,0
20150104 20:45,378,1.88,0,0,0,0
