Segment,quantiles,Delay_type,Measure,Value,
5,5%,Crash,Density,38,10
5,5%,Crash,Flow,1863,1019
5,5%,None,Density,38,30
5,5%,None,Flow,1863,3102
5,5%,Weather,Density,38,24
5,5%,Weather,Flow,1863,2397
5,10%,Crash,Density,38,10
5,10%,Crash,Flow,1863,1007
5,10%,None,Density,38,30
5,10%,None,Flow,1863,3089
5,10%,Weather,Density,38,24
5,10%,Weather,Flow,1863,2396
5,25%,Crash,Density,38,10
5,25%,Crash,Flow,1863,980
5,25%,None,Density,38,30
5,25%,None,Flow,1863,2991
5,25%,Weather,Density,38,24
5,25%,Weather,Flow,1863,2309
5,50%,Crash,Density,38,12
5,50%,Crash,Flow,1863,960
5,50%,None,Density,38,28
5,50%,None,Flow,1863,2798
5,50%,Weather,Density,38,24
5,50%,Weather,Flow,1863,2151
5,75%,Crash,Density,38,10
5,75%,Crash,Flow,1863,889
5,75%,None,Density,38,30
5,75%,None,Flow,1863,2682
5,75%,Weather,Density,38,22
5,75%,Weather,Flow,1863,1937
5,90%,Crash,Density,38,10
5,90%,Crash,Flow,1863,865
5,90%,None,Density,38,28
5,90%,None,Flow,1863,2416
5,90%,Weather,Density,38,22
5,90%,Weather,Flow,1863,1391
5,95%,Crash,Density,38,12
5,95%,Crash,Flow,1863,842
5,95%,None,Density,38,26
5,95%,None,Flow,1863,2373
5,95%,Weather,Density,38,14
5,95%,Weather,Flow,1863,857
6,5%,Crash,Density,24,14
6,5%,Crash,Flow,1328,1012
6,10%,Crash,Density,28,14
6,10%,Crash,Flow,1298,1108
6,25%,Crash,Density,24,14
6,25%,Crash,Flow,1260,1089
6,50%,Crash,Density,24,14
6,50%,Crash,Flow,1220,1008
6,75%,Crash,Density,26,14
6,75%,Crash,Flow,1177,1093
6,90%,Crash,Density,30,14
6,90%,Crash,Flow,1135,1044
6,95%,Crash,Density,26,14
6,95%,Crash,Flow,1066,992
6,5%,None,Density,28,14
6,5%,None,Flow,1383,1050
6,10%,None,Density,24,12
6,10%,None,Flow,1342,983
6,25%,None,Density,22,14
6,25%,None,Flow,1299,926
6,50%,None,Density,22,14
6,50%,None,Flow,1239,991
6,75%,None,Density,22,12
6,75%,None,Flow,1163,933
6,90%,None,Density,22,16
6,90%,None,Flow,1094,891
6,95%,None,Density,20,14
6,95%,None,Flow,1048,930
6,5%,Weather,Density,24,12
6,5%,Weather,Flow,1341,866
