DateTime,VMT_total,TT_mean,weather,Crash,INCIDENT,ROADWORK
1/1/2015 22:30,674.1880952,1.95983787,0,0,0,0
1/1/2015 22:45,623.0543651,1.978889999,0,0,0,0
1/1/2015 23:00,558.040873,1.95662084,0,0,0,0
1/1/2015 23:15,533.634127,1.970408977,0,0,0,0
1/1/2015 23:30,452.965873,1.958786185,0,0,0,0
1/1/2015 23:45,481.3630952,1.956645984,0,0,0,0
1/2/2015 0:00,462.7186508,2.009523353,0,0,0,0
1/2/2015 0:15,444.2920635,2.050840567,0,0,0,0
1/2/2015 0:30,395.2559524,2.062631568,0,0,0,0
1/2/2015 0:45,383.8246032,2.003317713,0,0,0,0
1/2/2015 1:00,393.0916667,2.000603466,0,0,0,0
1/2/2015 1:15,378.9190476,2.024156678,0,0,0,0
1/2/2015 1:30,355.4428571,2.003666496,0,0,0,0
1/2/2015 1:45,348.0654762,2.013703245,0,0,0,0
1/2/2015 2:00,340.2204365,2.184861381,0,0,0,0
1/2/2015 2:15,343.9047619,2.120469809,0,1,0,0
1/2/2015 2:30,356.1349206,2.073712804,0,1,0,0
1/2/2015 2:45,349.6815476,2.090325232,0,1,0,0
1/2/2015 3:00,344.4020833,2.168430011,0,0,0,0
1/2/2015 3:15,353.4724206,2.095032181,0,0,0,0
1/2/2015 3:30,339.9714286,2.084464207,0,0,0,0
1/2/2015 3:45,342.9843254,2.036860288,0,0,0,0
1/2/2015 4:00,354.035119,1.993872347,0,0,0,0
1/2/2015 4:15,373.4469246,2.060245256,0,0,0,0
1/2/2015 4:30,404.0626984,2.019234543,0,0,0,0
1/2/2015 4:45,502.6974206,2.008963035,0,0,0,0
1/2/2015 5:00,505.615873,2.037609366,0,0,0,0
1/2/2015 5:15,568.1285714,1.94383928,0,0,0,0
1/2/2015 5:30,773.922619,2.009378926,0,0,0,0
1/2/2015 5:45,1105.488889,1.973923301,0,0,0,0
1/2/2015 6:00,1038.590476,1.988008558,0,0,0,0
1/2/2015 6:15,1220.939286,1.982300431,0,0,0,0
1/2/2015 6:30,1580.127381,2.00076002,0,0,0,0
1/2/2015 6:45,1944.505556,2.011843793,0,0,0,0
1/2/2015 7:00,1646.341667,2.009541737,0,0,0,0
1/2/2015 7:15,1667.572222,2.01540907,0,0,0,0
1/2/2015 7:30,1808.688889,1.998803679,0,0,0,0
1/2/2015 7:45,1964.966667,1.99519638,0,0,0,0
1/2/2015 8:00,1790.75,1.973718304,0,0,0,0
1/2/2015 8:15,1494.015873,1.980939076,0,0,0,0
1/2/2015 8:30,1551.631349,1.997449981,0,0,0,0
1/2/2015 8:45,1607.454365,2.032113501,0,0,0,0
1/2/2015 9:00,1494.85119,1.974287908,0,0,0,0
1/2/2015 9:15,1391.784921,2.017666448,0,0,0,0
1/2/2015 9:30,1354.942063,1.99164636,0,0,0,0
1/2/2015 9:45,1426.386111,2.041273454,0,0,0,0
1/2/2015 10:00,1379.577778,1.975955875,0,0,0,0
1/2/2015 10:15,1358.642063,1.994929742,0,0,0,0
1/2/2015 10:30,1275.055556,1.989064501,0,0,0,0
1/2/2015 10:45,1483.432937,1.991612538,0,0,0,0
