Timestamp,VMT_total,TT_mean,Weather,Crash,incident,Rd Work
20150101 00:15,268,2.04,0,0,0,0
20150101 00:30,431,2.04,0,0,0,0
20150101 00:45,600,3.08,0,0,0,0
20150101 01:00,739,2.38,0,0,0,0
20150101 01:15,652,2.22,0,0,0,0
20150101 01:30,539,3.04,0,0,0,0
20150101 01:45,454,2.31,0,0,0,0
20150101 02:00,406,2.04,0,0,0,0
20150101 02:15,373,2.04,0,0,0,0
20150101 02:30,386,2.04,0,0,0,0
20150101 02:45,388,2.16,0,0,0,0
20150101 03:00,343,2.37,0,0,0,0
20150101 03:15,316,2.14,0,0,0,0
20150101 03:30,235,2.04,0,0,0,0
20150101 03:45,225,2.04,0,0,0,0
20150101 04:00,190,2.04,0,0,0,0
20150101 04:15,130,2.06,0,0,0,0
20150101 04:30,142,2.04,0,0,0,0
20150101 04:45,126,2.04,0,0,0,0
20150101 05:00,120,2.04,0,0,0,0
20150101 05:15,105,2.04,0,0,0,0
20150101 05:30,128,2.04,0,0,0,0
20150101 05:45,136,2.04,0,0,0,0
20150101 06:00,107,2.04,0,0,0,0
20150101 06:15,107,2.04,0,0,0,0
20150101 06:30,149,2.04,0,0,0,0
20150101 06:45,144,2.04,0,0,0,0
20150101 07:00,155,2.04,0,0,0,0
20150101 07:15,120,2.04,0,0,0,0
20150101 07:30,124,2,0,0,0,0
20150101 07:45,155,2.04,0,0,0,0
20150101 08:00,186,2.04,0,0,0,0
20150101 08:15,188,2.04,0,0,0,0
20150101 08:30,175,2.04,0,0,0,0
20150101 08:45,180,2.04,0,0,0,0
20150101 09:00,188,2.14,0,0,0,0
20150101 09:15,179,7.85,0,0,0,0
20150101 09:30,235,2.04,0,0,0,0
20150101 09:45,264,2.04,0,0,0,0
20150101 10:00,316,2.39,0,0,0,0
20150101 10:15,322,1.83,0,0,0,0
20150101 10:30,369,2.63,0,0,0,0
20150101 10:45,411,2,0,0,0,0
20150101 11:00,456,2,0,0,0,0
20150101 11:15,504,2.04,0,0,0,0
20150101 11:30,557,2.04,0,0,0,0
20150101 11:45,600,2.04,0,0,0,0
20150101 12:00,613,1.85,0,0,0,0
20150101 12:15,654,2.6,0,0,0,0
20150101 12:30,660,2.12,0,0,0,0
20150101 12:45,567,2.04,0,0,0,0
20150101 13:00,629,3.08,0,0,0,0
20150101 13:15,594,2.04,0,0,0,0
20150101 13:30,617,2.04,0,0,0,0
20150101 13:45,675,2.59,0,0,0,0
20150101 14:00,646,2.87,1,0,0,0
20150101 14:15,654,2.04,1,0,0,0
20150101 14:30,720,2.04,0,0,0,0
20150101 14:45,681,2.04,0,0,0,0
20150101 15:00,706,2.68,0,0,0,0
20150101 15:15,770,2.6,0,0,0,0
20150101 15:30,861,2.04,0,0,0,0
20150101 15:45,778,2.31,0,0,0,0
20150101 16:00,836,2.02,0,0,0,0
20150101 16:15,811,2.18,0,0,0,0
20150101 16:30,809,2.12,0,0,0,0
20150101 16:45,790,2.04,0,0,0,0
20150101 17:00,784,2.17,0,0,0,0
20150101 17:15,718,3.72,0,0,0,0
20150101 17:30,722,2.16,0,0,0,0
20150101 17:45,712,2.04,0,0,0,0
20150101 18:00,685,2.04,0,0,0,0
20150101 18:15,658,2.04,0,0,0,0
20150101 18:30,656,2.04,0,0,0,0
20150101 18:45,634,2.25,0,0,0,0
20150101 19:00,594,2.04,0,0,0,0
20150101 19:15,658,2.04,0,0,0,0
20150101 19:30,634,2.74,0,0,0,0
20150101 19:45,572,2.56,0,0,0,0
20150101 20:00,504,2.04,0,0,0,0
20150101 20:15,518,2.04,0,0,0,0
20150101 20:30,470,2.25,0,0,0,0
20150101 20:45,491,2.04,0,0,0,0
20150101 21:00,444,2.04,0,0,0,0
20150101 21:15,473,2.35,0,0,0,0
20150101 21:30,404,3.18,0,0,0,0
20150101 21:45,458,2.04,0,0,0,0
20150101 22:00,520,2.04,0,0,0,0
20150101 22:15,559,1.91,0,0,0,0
20150101 22:30,534,2.04,0,0,0,0
20150101 22:45,349,2.41,0,0,0,0
20150101 23:00,371,2.14,0,0,0,0
20150101 23:15,289,2.04,0,0,0,0
20150101 23:30,299,2.04,0,0,0,0
20150101 23:45,272,2.32,0,0,0,0
20150102 00:00,262,2.04,0,0,0,0
20150102 00:15,217,2.04,0,0,0,0
20150102 00:30,175,2.04,0,0,0,0
20150102 00:45,186,2.04,0,0,0,0
20150102 01:00,118,2.04,0,0,0,0
20150102 01:15,138,2.08,0,0,0,0
20150102 01:30,107,2.04,0,0,0,0
20150102 01:45,107,2.04,0,0,0,0
20150102 02:00,113,2.04,0,0,0,0
20150102 02:15,105,2.04,0,0,0,0
20150102 02:30,93,2.04,0,0,0,0
20150102 02:45,109,2.04,0,0,0,0
20150102 03:00,89,2.04,0,0,0,0
20150102 03:15,76,2.04,0,0,0,0
20150102 03:30,85,2.04,0,0,0,0
20150102 03:45,50,2.04,0,0,0,0
20150102 04:00,50,2.04,0,0,0,0
20150102 04:15,47,4.14,0,0,0,0
20150102 04:30,66,2.04,0,0,0,0
20150102 04:45,74,2.1,0,0,0,0
20150102 05:00,93,2.04,0,0,0,0
20150102 05:15,101,2.04,0,0,0,0
20150102 05:30,159,2.1,0,0,0,0
20150102 05:45,182,2,0,0,0,0
20150102 06:00,179,2.04,0,0,0,0
20150102 06:15,260,2.04,0,0,0,0
20150102 06:30,303,2.04,0,0,0,0
20150102 06:45,340,2.12,0,0,0,0
20150102 07:00,349,2.18,0,0,0,0
20150102 07:15,382,2.04,0,0,0,0
20150102 07:30,454,3.72,0,0,0,0
20150102 07:45,580,2.41,0,0,0,0
20150102 08:00,530,2.13,0,0,0,0
20150102 08:15,489,1.95,0,0,0,0
20150102 08:30,415,2.06,0,0,0,0
20150102 08:45,380,2.17,0,0,0,0
