DateTime,VMT_total,TT_mean,weather,Crash,INCIDENT,ROADWORK
1/1/2015 22:30,1051.139286,2.274628588,0,0,0,0
1/1/2015 22:45,860.675,2.326197013,0,0,0,0
1/1/2015 23:00,794.8365079,2.298440594,0,0,0,0
1/1/2015 23:15,711.9960317,2.26211119,0,0,0,0
1/1/2015 23:30,735.9400794,2.285718819,0,0,0,0
1/1/2015 23:45,699.5559524,2.324263333,0,0,0,0
1/2/2015 0:00,710.0404762,2.277893531,0,0,0,0
1/2/2015 0:15,656.4468254,2.279267823,0,0,0,0
1/2/2015 0:30,588.9175926,2.312245906,0,0,0,0
1/2/2015 0:45,534.9253968,2.332526363,0,0,0,0
1/2/2015 1:00,470.4547619,2.425642617,0,0,0,0
1/2/2015 1:15,471.9638889,2.362060783,0,0,0,0
1/2/2015 1:30,470.9460317,2.343277926,0,0,0,0
1/2/2015 1:45,445.2777778,2.366388826,0,0,0,0
1/2/2015 2:00,453.5373016,2.396873251,0,0,0,0
1/2/2015 2:15,497.2551587,2.353847735,0,0,0,0
1/2/2015 2:30,468.743254,2.404929951,0,0,0,0
1/2/2015 2:45,466.9962963,2.410328909,0,0,0,0
1/2/2015 3:00,466.5722222,2.297241369,0,0,0,0
1/2/2015 3:15,391.622619,2.41945908,0,0,0,0
1/2/2015 3:30,498.7630952,2.453511934,0,0,0,0
1/2/2015 3:45,404.925,2.432293419,0,0,0,0
1/2/2015 4:00,394.6293651,2.64137791,0,0,0,0
1/2/2015 4:15,383.3507937,2.389232037,0,0,0,0
1/2/2015 4:30,415.1888889,2.332612927,0,0,0,0
1/2/2015 4:45,460.9940476,2.461155387,0,0,0,0
1/2/2015 5:00,483.6373016,2.470388908,0,0,0,0
1/2/2015 5:15,483.922619,2.421430319,0,0,0,0
1/2/2015 5:30,560.9150794,2.394052202,0,0,0,0
1/2/2015 5:45,670.365873,2.285861638,0,0,0,0
1/2/2015 6:00,734.7857143,2.365482614,0,0,0,0
1/2/2015 6:15,690.7178571,2.422067148,0,0,0,0
1/2/2015 6:30,856.4051587,2.458941592,0,0,0,0
1/2/2015 6:45,1022.87619,2.370828261,0,0,0,0
1/2/2015 7:00,1011.245635,2.366504067,0,0,0,0
1/2/2015 7:15,1003.5,2.43331857,0,0,0,0
1/2/2015 7:30,1082.316667,2.367805572,0,0,0,0
1/2/2015 7:45,1303.705556,2.368274392,0,0,0,0
1/2/2015 8:00,1362.711111,2.355055047,0,0,0,0
1/2/2015 8:15,1267.680556,2.461056185,0,0,0,0
1/2/2015 8:30,1229.227381,2.423075469,0,0,0,0
1/2/2015 8:45,1227.594444,2.342078649,0,0,0,0
1/2/2015 9:00,1303.893651,2.323331667,0,0,0,0
1/2/2015 9:15,1130.914683,2.35071829,0,0,0,0
1/2/2015 9:30,1196.899603,2.302520416,0,0,0,0
1/2/2015 9:45,1289.925,2.295321086,0,0,0,0
1/2/2015 10:00,1355.241667,2.371870195,0,0,0,0
1/2/2015 10:15,1460.39881,2.357704434,0,0,0,0
1/2/2015 10:30,1354.652778,2.296952132,0,0,0,0
1/2/2015 10:45,1368.80754,2.313788909,0,0,0,0
1/2/2015 11:00,1506.401587,2.275698147,0,0,0,0
1/2/2015 11:15,1542.477381,2.405036364,0,0,0,0
1/2/2015 11:30,1648.030159,2.375617457,0,0,0,0
1/2/2015 11:45,1776.264683,2.376395754,0,0,0,0
1/2/2015 12:00,1799.358333,2.365898751,0,0,0,0
1/2/2015 12:15,1907.413889,2.342970727,0,0,0,0
1/2/2015 12:30,1979.366667,2.350904046,0,0,0,0
1/2/2015 12:45,2026.541667,2.346198552,0,0,0,0
1/2/2015 13:00,1919.152778,2.30336429,0,0,0,0
1/2/2015 13:15,2176.497222,2.286683591,0,0,0,0
1/2/2015 13:30,2096.95,2.265362192,0,0,0,0
1/2/2015 13:45,2304.311111,2.264579313,0,0,0,0
1/2/2015 14:00,2228.413889,2.309045508,0,0,0,0
1/2/2015 14:15,2683.975,2.289947404,0,0,0,0
1/2/2015 14:30,2663.825,2.282937233,0,0,0,0
1/2/2015 14:45,2866.225,2.278674216,0,0,0,0
1/2/2015 15:00,2780.466667,2.285598664,0,0,0,0
1/2/2015 15:15,3044.033333,2.302096028,0,0,0,0
1/2/2015 15:30,3256.975,2.286238054,0,0,0,0
1/2/2015 15:45,3630.866667,2.263044451,0,0,0,0
1/2/2015 16:00,3378.266667,2.296258765,0,0,0,0
1/2/2015 16:15,3564.458333,2.297370084,0,0,0,0
1/2/2015 16:30,3565.533333,2.313336646,0,0,0,0
1/2/2015 16:45,3343.166667,2.314297096,0,0,0,0
1/2/2015 17:00,3546.533333,2.371067979,0,0,0,0
1/2/2015 17:15,3290.191667,2.354539368,0,0,0,0
1/2/2015 17:30,3317.458333,2.373306977,0,0,0,0
1/2/2015 17:45,2572.916667,2.336447746,0,0,0,0
1/2/2015 18:00,2595.4,2.376773666,0,0,0,0
1/2/2015 18:15,2351.041667,2.329325211,0,0,0,0
1/2/2015 18:30,2161.366667,2.32196113,0,0,0,0
1/2/2015 18:45,2041.1,2.316663815,0,0,0,0
1/2/2015 19:00,1801.283333,2.282649352,0,0,0,0
1/2/2015 19:15,1802.061111,2.281558281,0,0,0,0
1/2/2015 19:30,1766.008333,2.338814911,0,0,0,0
